"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"14245_at","14245_at",0.000704432204753237,7.92084590246823e-08,7.56090551738877,7.69779818924821,0.249751183363477,14245
"17750_at","17750_at",0.000704432204753237,1.14736792672489e-07,7.39959357975689,7.37969494921698,0.662785151201423,17750
"252838_at","252838_at",0.000704432204753237,1.57802913251173e-07,7.26202002859449,7.10504574541861,0.239644923828207,252838
"17748_at","17748_at",0.000984081996338832,2.93931301176473e-07,6.99649363138589,6.56632907217656,0.464842984134435,17748
"56458_at","56458_at",0.00291881002826443,1.30415959631053e-06,6.37495561800083,5.2625322308815,0.16681602427945,56458
"170768_at","170768_at",0.00291881002826443,1.30771058613998e-06,6.37383838232976,5.26013705889858,0.344745668382084,170768
"19017_at","19017_at",0.00603093438784545,3.4659721624425e-06,5.97685555238704,4.39823278901785,0.231072828776115,19017
"21928_at","21928_at",0.00603093438784545,4.00834651336691e-06,-5.91820218414234,4.26913972053755,-0.22107060350152,21928
"12877_at","12877_at",0.00603093438784545,4.72103631804221e-06,5.85233944028833,4.12367550353207,0.332962678830733,12877
"28248_at","28248_at",0.00603093438784545,5.1924648394244e-06,-5.81410804041798,4.03899892550071,-0.261400361621955,28248
"13094_at","13094_at",0.00603093438784545,5.50224237252132e-06,5.79085849706099,3.98742065565327,0.600318736123711,13094
"55947_at","55947_at",0.00603093438784545,5.58896388235358e-06,5.7845875151769,3.97349792435767,0.299827602209902,55947
"12457_at","12457_at",0.00603093438784545,6.27943268676928e-06,5.73792062124117,3.86974668751945,0.348313617653851,12457
"12609_at","12609_at",0.00603093438784545,6.73084366156309e-06,5.71014554756315,3.80787892391145,0.199066467023107,12609
"53412_at","53412_at",0.00603093438784545,6.75507883943263e-06,-5.70870827019569,3.80467509855696,-0.489949005518388,53412
"18626_at","18626_at",0.00775838498846412,9.2692771666238e-06,5.58244948250515,3.52235430569001,0.275036901433531,18626
"12686_at","12686_at",0.00887188175109039,1.19191188165025e-05,-5.48247919665915,3.2976385458635,-0.56902617031708,12686
"20454_at","20454_at",0.00887188175109039,1.19245722460892e-05,5.48229759979872,3.29722944650348,0.158597286634088,20454
"14229_at","14229_at",0.00968894655544521,1.37462652743025e-05,5.42590502836039,3.17003659862364,0.186264940250335,14229
"18585_at","18585_at",0.00983473989550643,1.47863083269885e-05,-5.39700917403279,3.10474718898207,-0.250220079257151,18585
"56484_at","56484_at",0.00983473989550643,1.55308127354765e-05,5.37755951963698,3.0607584994006,0.160791586407019,56484
"55990_at","55990_at",0.00983473989550643,1.61562334006229e-05,5.36193568085613,3.02539808490955,0.297316423537948,55990
"107449_at","107449_at",0.0100675918137403,1.72905176012566e-05,5.33509874525596,2.96460984247823,0.257734681556529,107449
"12737_at","12737_at",0.0106850220116618,1.91487849671359e-05,-5.29475831897261,2.8731189881403,-0.214152884218252,12737
"22151_at","22151_at",0.0119009791146868,2.28383717726912e-05,-5.22521943911565,2.71509400536323,-0.284822350163151,22151
"50794_at","50794_at",0.0119009791146868,2.31052461904015e-05,5.22063847565991,2.7046705288593,0.180653722491088,50794
"18984_at","18984_at",0.015293045799043,3.08327536271029e-05,5.10701679295393,2.44564349103475,0.198535807558768,18984
"67333_at","67333_at",0.0160715154334307,3.44996077260786e-05,5.06283339979883,2.34467765695358,0.18256716137948,67333
"69627_at","69627_at",0.0160715154334307,3.48024154397768e-05,-5.05939883152642,2.33682392175354,-0.328578948139859,69627
"639769_at","639769_at",0.0171555362698019,3.84308608194487e-05,-5.02043546669521,2.24767695176291,-0.452124260664112,639769
